ID,Adjusted cell count/mL,time
03AI,254119,52
03AK,297964,52
05AA,115582,52
05AC,136127,52
05AD,79197,52
05AE,79197,52
05AG,119943,52
05AH,76672,52
05AI,117533,52
05AJ,101464,52
05AK,139341,52
05AL,98365,52
05AM,101579,52
05AN,139685,52
05AO,332971,52
06AA,118222,52
06AB,89757,52
06AC,342613,52
06AI,117189,52
06AJ,101579,52
06AK,102497,52
06AL,64391,52
06AM,271795,52
06AN,129470,52
07AA,110531,52
07AB,127633,52
07AC,33286,52
07AD,57963,52
07AE,43960,52
07AF,44190,52
07AG,227261,52
07AH,67490,52
07AI,64850,52
07AJ,43730,52
07AK,21004,52
07AL,36614,52
07AM,267089,52
07AN,282010,52
07AO,80689,52
08AA,23070,52
08AB,28695,52
08AC,17561,52
08AD,52339,52
08AE,11133,52
08AF,99054,52
08AG,51995,52
08AH,25366,52
08AI,37303,52
08AJ,55667,52
08AK,64391,52
08AL,67604,52
08AM,44534,52
08AN,180546,52
08AO,26514,52
08AP,32941,52
08AQ,31564,52
08AR,67604,52
08AS,349729,52
08AT,22726,52
09AA,1148,52
09AB,-918,52
09AC,313344,52
09AD,-689,52
09AE,-115,52
09AF,83214,52
09AG,4362,52
09AH,5050,52
09AI,3329,52
09AJ,2755,52
09AK,-1836,52
09AL,-1377,52
09AM,4935,52
09AN,133028,52
09AO,574,52
09AP,19857,52
09AQ,9527,52
09AR,-1377,52
09AS,6428,52
09AT,28465,52
09AU,48207,52
09AV,22382,52
09AW,23300,52
09AX,-1148,52
09AY,29957,52
